institutionCode,institutionName,country,state,collectionCode,collectionName,size,tier,percentPublic,type,lat,lon,url,scan,idigbio,gbif
ABS,Archbold Biological Station ,USA,FL,ARTHARCH,Arthropod Collection,250000,3,0.13,Private,27.195,-81.373,http://www.archbold-station.org/html/research/entom/arthcoll.html,Snapshot,TRUE,TRUE
ALMN,Alabama Museum of Natural History,USA,AL,ALMN,,10000,4,0,University,33.2121,-87.5438,https://almnh.ua.edu/collections-and-research.html,No,FALSE,FALSE
AMNH,American Museum of Natural History,USA,NY,AMNH,,18072585,1,0.03,Private,40.7813,-73.9739,https://www.amnh.org/our-research/invertebrate-zoology,Snapshot,TRUE,TRUE
AMNH,Arizona Museum of Natural History,USA,AZ,SWRS,Southwestern Research Station ,25000,4,0.02,Private,31.8832,-109.2056,https://www.amnh.org/our-research/southwestern-research-station,No,FALSE,FALSE
ANSP,Academy of Natural Sciences ,USA,PA,ENT,Entomology Collection,3500000,1,0.02,University,39.9564,-75.1793,http://www.ansp.org,Live,TRUE,TRUE
ASCC,American Samoa Community College,USA,AS,ASCC,,2000,4,0,University,-14.3224,-170.7419,,No,FALSE,FALSE
ASU,Arizona State University ,USA,AZ,ASUHIC,Hasbrouck Insect Collection,1950000,2,0.05,University,33.42,-111.933,http://taxonbytes.org/asuhic/,Live,TRUE,TRUE
AUEM,Auburn University,USA,AL,AUEM,Museum of Natural History,100000,3,0,University,32.5988,-85.483,http://aumnh.org,No,FALSE,FALSE
BIOUG,University of Guelph,CA,ON,BIOUG,The Centre for Biodiversity Genomics,3000000,1,0.5,University,43.5305,-80.2262,http://www.uoguelph.ca/debu/index.htm,Snapshot,FALSE,TRUE
BIU,Bishop's University ,CA,QC,NHM,Natural History Museum,200000,3,0,Private,45.3649,-71.8468,https://www.rom.on.ca/en/collections-research,No,FALSE,FALSE
BLM,BLM Mother Lode Field Office,USA,CA,MLFO,The Bees of Pine Hill Preserve Collection,1000,4,0.23,University,38.71,-120.99,http://www.pinehillpreserve.org/,Live,TRUE,TRUE
BMS,Buffalo Museum of Science,USA,NY,ENT,Entomology,153000,3,0,University,42.9057,-78.8434,https://www.sciencebuff.org/about-us/,No,FALSE,FALSE
BRFC,Black Rock Forest ,USA,NY,IC,Insect Collection ,2000,4,0.13,University,41.417,-74.0107,https://blackrockforest.org/research/research-data,No,FALSE,FALSE
BROW,The Broward College ,USA,FL,BCIC,Insect Collection,30000,4,0.04,University,26.0798,-80.2365,http://www.broward.edu/academics/programs/environmental/environmentalscience/Pages/BCIC.aspx,Live,TRUE,TRUE
BUU,Butler University,USA,IN,IC,Insect Collection,8000,4,0,University,39.838,-86.1715,,No,FALSE,FALSE
BYU,Brigham Young University ,USA,UT,BYUC,Arthropod Museum,2100000,2,0.06,University,40.2534,-111.6474,http://mlbean.byu.edu/,Live,TRUE,TRUE
CAES,Connecticut Agricultural Experiment Station ,USA,CT,CAES,,50000,4,0.21,Government,41.3312,-72.9196,https://www.ct.gov/caes/cwp/view.asp?a=2826&q=448278&caesNav=|,No,FALSE,FALSE
CAS,California Academy of Sciences ,USA,CA,ENT,Entomology,16000000,1,0.06,Private,37.7695,-122.4662,http://www.calacademy.org/scientists/entomology,Snapshot,TRUE,TRUE
CEAM,Colección de Insectos del Colegio de Potgraduados,MX,EM,CEAM,,500000,3,0.9,Referency,19.4633,-98.9055,http://terranova.org.mx/terranova.html ,Snapshot,FALSE,FALSE
CEUG,Colección Entomologica Universidad de Guadalajara ,MX,JA,CEUG,,30000,4,0,University,20.6748,-103.3679,,Snapshot,FALSE,TRUE
